Stock Name:Reliance Industries Ltd.,As on 30-Jun-26

Sector,No. of Funds,No. of Shares,No. of Shares,No. of Shares,No. of Shares
,,`Jun-26,`May-26,`Apr-26,`Mar-26
Energy,644,1351744321,1353376795,1302381102,1297994364


`Fund Name,`Fund Manager,`Jun-26,`Jun-26,`Jun-26,`May-26,`Apr-26,`Mar-26
,,AUM (in Rs. cr),% of AUM,No. of Shares,No. of Shares,No. of Shares,No. of Shares
Bandhan Arbitrage Fund-Reg(G),Kapil Kankonkar,8189.7,2.22,1404500,1180500 ,1045000,852000
Abakkus Flexi Cap Fund-Reg(G),Sanjay Doshi,5300.9,3.42,1400000,1100000 ,1000000,1000000
Mirae Asset Flexi Cap Fund-Reg(G),Varun Goel,4262.0,4.24,1396238,1306238 ,1306238,1166238
ICICI Pru BSE Sensex Index Fund(G),Nishit Patel,1843.3,9.62,1369897,1371991 ,1362816,1344270
DSP Natural Res & New Energy Fund-Reg(G),Rohit Singhania,2400.8,7.35,1364020,800748 ,358082,358082
Axis Balanced Advantage Fund-Reg(G),Jayesh Sundar,3814.4,4.63,1363657,1059657 ,1059657,1164551
Tata ELSS Fund-Reg(G),Sailesh Jain,4597.3,3.80,1350000,1350000 ,1350000,1350000
Axis Multicap Fund-Reg(G),Shreyash Devalkar,10457.3,1.61,1305217,1305217 ,1305217,1505217
Franklin Build India Fund(G),Ajay Argal,3255.7,5.17,1300000,1300000 ,1300000,1260000
Nippon India Vision Large & Mid Cap Fund(G),Aishwarya Agarwal,7459.1,2.26,1300000,1300000 ,1300000,2250000
UTI Aggressive Hybrid Fund-Reg(G),V. Srivatsa,6648.2,2.52,1296903,1221903 ,1221903,1221903
UTI Infrastructure Fund-Reg(G),Deepesh Agarwal,2162.5,7.66,1280226,1193810 ,1162502,1078234
DSP Multi Asset Allocation Fund-Reg(G),Aparna Karnik,10105.2,1.63,1276292,900000 ,0,0
Kotak Focused Fund-Reg(G),Shibani Kurian,4298.8,3.80,1263800,1263800 ,1263800,1263800
HDFC Value Fund-Reg(G),Anand Laddha,7583.3,2.13,1250000,1250000 ,1205000,1005000
Tata Flexi Cap Fund-Reg(G),Anand Sharma,3638.8,4.37,1230356,1185356 ,1185356,1185356
PGIM India Flexi Cap Fund-Reg(G),Anandha Padmanabhan Anjeneyan,5817.8,2.72,1221708,1221708 ,1221708,1725728
Axis Focused Fund-Reg(G),Sachin Relekar,11078.4,1.41,1203659,1573259 ,1950859,1950859
HSBC Flexi Cap Fund-Reg(G),Abhishek Gupta,5633.4,2.75,1195160,1195160 ,1195160,1195160
Baroda BNP Paribas Balanced Advantage Fund-Reg(G),Jitendra Sriram,5002.6,3.06,1182755,1200000 ,1200000,1200000
Kotak Contra Fund-Reg(G),Shibani Kurian,5331.4,2.87,1181648,1181648 ,1181648,1181648
Aditya Birla SL Multi Asset Allocation Fund-Reg(G),Dhaval Gala,6989.1,2.14,1157103,1157103 ,1157103,1157103
Kotak Equity Savings Fund(G),Devender Singhal,10223.5,1.45,1148452,1147952 ,1147952,1147952
Baroda BNP Paribas Large Cap Fund-Reg(G),Jitendra Sriram,2570.6,5.66,1125000,1125000 ,1125000,1134000
Motilal Oswal Arbitrage Fund-Reg(G),Vishal Ashar,2847.6,5.09,1119500,0 ,0,0
NJ Balanced Advantage Fund-Reg(G),Viral Shah,3393.5,4.25,1114500,1114500 ,1040000,975500
Bandhan Multi Asset Allocation Fund-Reg(G),Viraj Kulkarni,3490.7,4.09,1102500,1102500 ,1102500,1065500
Kotak Multicap Fund-Reg(G),Devender Singhal,28074.2,0.51,1100000,1100000 ,1100000,1100000
UTI MEPUS,Karthikraj Lakshmanan,2754.1,5.12,1089563,1089563 ,1089563,1089563
Mahindra Manulife Focused Fund-Reg(G),Krishna Sanghavi,2197.9,6.37,1081335,1081335 ,1081335,931335
Mirae Asset Multicap Fund-Reg(G),Ankit Jain,5278.0,2.61,1066157,862497 ,862497,814379
Tata Large Cap Fund-Reg(G),Abhinav Sharma,2721.3,4.99,1050000,1050000 ,1050000,1050000
UTI Focused Fund-Reg(G),Vishal Chopda,2413.4,5.63,1050000,923000 ,923000,883000
Sundaram Multi Asset Allocation Fund-Reg(G),Rohit Seksaria,3268.2,4.13,1043412,1079281 ,1079281,1079281
UTI Large & Mid Cap Fund-Reg(G),V. Srivatsa,6217.8,2.17,1041380,981380 ,981380,981380
UTI Balanced Advantage Fund-Reg(G),Sachin Trivedi,3022.0,4.42,1032167,1082167 ,1082167,1082167
Tata NIFTY 50 Index Fund-Reg(G),Nitin Sharma,1673.6,7.97,1031048,1011524 ,1004043,910486
Nippon India Retirement Fund-Wealth Creation(G),Pranay Sinha,3084.1,4.30,1025000,1025000 ,1025000,1025000
Motilal Oswal Nifty 500 Index Fund-Reg(G),Swapnil P Mayekar,2968.0,4.45,1021473,1034248 ,1035335,1016210
Axis Nifty 100 Index Fund-Reg(G),Nandik Mallik,2023.8,6.52,1019625,996303 ,990078,979095
Sundaram Large Cap Fund-Reg(G),Ashwin Jain,3063.0,4.27,1011076,1011076 ,1011076,1011076
HSBC Multi Cap Fund-Reg(G),Venugopal Manghat,5914.0,2.20,1006999,1219235 ,1219235,1219235
SBI ESG Exclusionary Strategy Fund-Reg(G),Rohit Shimpi,5346.8,2.43,1005000,1005000 ,1005000,1005000
HDFC Dividend Yield Fund-Reg(G),Gopal Agrawal,5655.6,2.29,1000000,1000000 ,1000000,1000000
Tata Business Cycle Fund-Reg(G),Rahul Singh (Tata),2667.7,4.73,975926,975926 ,975926,1245926
Canara Rob Focused Fund-Reg(G),Shridatta Bhandwaldar,2768.5,4.53,969800,969800 ,969800,969800
Parag Parikh Arbitrage Fund-Reg(G),Rajeev Thakkar,2631.7,4.75,965500,900500 ,772500,584500
Edelweiss Flexi Cap Fund-Reg(G),Trideep Bhattacharya,3483.7,3.54,952404,794855 ,794855,794855
HSBC ELSS Tax saver Fund-Reg(G),Abhishek Gupta,4080.6,3.02,951812,951812 ,951812,951812
Bandhan Large Cap Fund-Reg(G),Manish Gunwani,2060.9,5.86,933776,890095 ,899085,893629
SBI Conservative Hybrid Fund-Reg(G),Saurabh Pant,10144.7,1.17,920000,920000 ,920000,920000
ICICI Pru Nifty 100 Low Volatility 30 ETF,Nishit Patel,3409.2,3.44,905619,757055 ,778766,787870
Templeton India Value Fund(G),Ajay Argal,2053.6,5.67,900000,950000 ,950000,950000
Edelweiss Aggressive Hybrid Fund-Reg(G),Bhavesh Jain,3784.0,3.05,890965,740965 ,685019,685019
Aditya Birla SL Nifty 50 Index Fund-Reg(G),Mehul Dama,1443.0,7.97,888581,871509 ,862868,770319
HSBC Infrastructure Fund-Reg(G),Venugopal Manghat,2452.9,4.68,887400,887400 ,1007400,1007400
HDFC Innovation Fund-Reg(G),Amit Sinha,2760.4,4.12,880000,880000 ,880000,630000
Magnum Hybrid Long Short Fund-Reg(G),Gaurav Mehta,3646.6,3.11,876500,876500 ,876500,876500
Bajaj Finserv Large Cap Fund-Reg(G),Nimesh Chandan,1606.7,6.99,867750,710727 ,604846,604846
DSP Nifty Top 10 Equal Weight Index Fund-Reg(G),Anil Ghelani,1116.9,9.99,862057,819690 ,837667,832436
Bandhan Multi Cap Fund-Reg(G),Daylynn Pinto,3005.6,3.66,850000,795000 ,795000,795000
Franklin India Multi Cap Fund-Reg(G),R. Janakiraman,5029.5,2.16,841491,841491 ,841491,841491
Nippon India Nifty 50 Value 20 Index Fund-Reg(G),Jitendra Tolani,860.1,12.47,828738,0 ,0,0
Kotak ELSS Tax Saver Fund(G),Harsha Upadhyaya,6196.8,1.71,820000,820000 ,820000,820000
Nippon India Aggressive Hybrid Fund(G),Meenakshi Dawar,4013.8,2.60,806000,806000 ,806000,806000
DSP Equity Savings Fund-Reg(G),Abhishek Singh,3512.5,2.97,805500,805500 ,805500,805500
Aditya Birla SL Multi-Cap Fund-Reg(G),Abhinav Khandelwal,7029.6,1.47,800000,907984 ,1687984,1687984
Tata Aggressive Hybrid Fund-Reg(G),Satish Chandra Mishra,3792.5,2.73,800000,800000 ,800000,1450000
Axis NIFTY 50 ETF,Nandik Mallik,1277.9,7.97,787151,775252 ,773471,767501
UTI ELSS Tax Saver Fund-Reg(G),Amit Premchandani,3474.0,2.92,785000,725000 ,725000,725000
HSBC Large Cap Fund(G),Neelotpal Sahai,1814.2,5.35,750000,750000 ,750000,900000
Kotak Manufacture in India Fund-Reg(G),Harsha Upadhyaya,2803.9,3.46,750000,750000 ,750000,750000
